s1,s2,stance
الإذاعة الإسرائيلية تعتذر عن إذاعة موسيقى لـفاجنر مؤلف هتلر المفضل,إذاعة موسيقى لـفاجنر مؤلف اليهود المفضل,disagree
مخرج فيلم قصة لعبة يغادر ديزني بعد اتهامه بسوء السلوك,بعد اتهامه بالتحرش : مخرج فيلم قصة لعبة يرحل عن ديزني,agree
مصر تعتزم طرح حصص في شركات حكومية بالبورصة,البورصة المصرية على موعد مع أسهم حكومية,agree
هل سيتم معاقبة فتاة فيديو القهوة المثير للجدل فى مصر ؟,فتاة فيديو القهوة المثير للجدل فى مصر تتلقى الدعم من منظمات مجتمعية,disagree
اتفاق بين أمريكا و تركيا على انسحاب المسلحين الأكراد من منبج السورية,فشل الأتفاق بين أمريكا و تركيا على انسحاب المسلحين من منبج,disagree
ترامب: الحرس الثوري الإيراني يسرق شعبه لتمويل الإرهاب في الخارج,وزير الدفاع الإسرائيلي للرئيس السوري: اُطرد الإيرانيين,other
السعودية تعلن ضبط مليون و800 ألف مخالف لأنظمة الإقامة والعمل,السعودية تعفو عن لمليون و800 مخالف لأنظمة الإقامة والعمل,disagree
الحرب في اليمن: عمليات نزوح واسعة من مناطق القتال في الحديدة,عمليات نزوح كبيرة من مناطق القتال في الحديدة,agree
ندم تاريخي في انتظار أمريكا إذا انسحبت من اتفاق إيران النووي,أمريكا تتطلع لحدث تاريخى بالانسحاب من اتفاق إيران النووي,disagree
السلطات السعودية تعتقل 7 ناشطين بينهم 3 نساء لتواصلهم مع جهات أجنبية مشبوهة,السعودية تفرج عن 7 ناشطين,disagree
هل لمصر دور فاعل في المصالحة الفلسطينية؟,هل للسعودية دور فاعل في المصالحة الفلسطينية؟,disagree
اتفاق بين المغرب و نيجيريا لمد خط أنابيب غاز في البر و البحر,اتفاق بين المغرب و نيجيريا لمد خط أنابيب مياه في البر و البحر,disagree
نزوح أعداد كبيرة من عفرين مع استمرار الهجمات التركية,توقف الهجمات التركية في عفرين,disagree
الإفراج عن الناشطة البارزة عائشة المانع بعد اعتقالها لعدة أيام,استمرار حبس الناشطة البارزة عائشة المانع,disagree
أغنية جديدة يصدرها كاني ويست مدافعاً عن ترامب,فيلم جديد يصدرها كاني ويست مدافعاً عن ترامب,disagree
ردود أفعال غاضبة للغاية بعد تعرض طالبة مصرية للأعتداء و وفاتها فى بريطانيا,تجاهل مصرى تام لوفاة طالبة مصرية تعرضت لاعتداء في بريطانيا,disagree
برلين: واشنطن لن تتمكن من تقسيم الاتحاد الأوروبي,برلين تركد: بإمكان واشنطن تقسيم الاتحاد الأوروبي,disagree
أردوغان يتكلم والليرة تغرق.. انهيار جديد بعد استجداء الأتراك,الأتراك يستنجدون والليرة تواصل الهبوط,agree
أوبر وكريم تندمجان بالشرق الأوسط,دمج أوبر وكريم في الشرق الأدنى,disagree
نتنياهو: إسرائيل وجهت أعنف ضربة لحماس منذ حرب غزة 2014,أعلن نتينياهو عن أكبر ضربة لسوريا منذ 2014,disagree
احتجاز صحفييْن مصرييْن 15 يوما بتهمة تكدير الأمن العام,بسبب تكدير الأمن العام مصر تحتجز صحفييْن لمدة 15 يوم,agree
انحدار قياسي جديد لليرة التركية,ارتفاع جديد لليرة التركية,disagree
القبض على هشام عشماوي، أبرز المطلوبين للسلطات المصرية، في ليبيا,السلطات المصرية تفشل فى القبض على هشام عشماوى,disagree
افتتاح أول دار عرض في السعودية منذ أكثر من 35 عاما بفيلم النمر الأسود,فيلم النمر الأسود يفتتح دار عرض سينمائي لأول مرة منذ 35 عام,agree
القيادي الحوثي صالح الصماد في سطور,صالح الصماد أحد قادة الحوثيين,agree
عهد ترامب.. أرقام اقتصادية إيجابية يفسدها الفقر,الفقر يحبط نمو اقتصادي شهده حكم ترامب,agree
فرنسا وألمانيا في خندق واحد بوجه التوترات التجارية,فرنسا وألمانيا يدا بيد أمام التوترات التجارية العالمية,agree
إسرائيل تشدد إجراءات حظر التدخين في الأماكن العامة,تشديد ضوابط حظر التدخين في الأماكن العامة فى إسرائيل,agree
شركة جديدة تصل إلى تريليون دولار,شركة تصل لرأس مال يقدر بـ مليون دولار,disagree
أميرة سعودية تحتل غلاف مجلة الموضة فوغ أرابيا,أميرة سعودية تظهر على غلاف مجلة شهيرة للموضة,agree
أسعار الذهب تتعافى بفعل تغطية مراكز مدينة,تغطية مراكز المدينة ترفع الذهب,agree
الأمم المتحدة: استمرار حرب اليمن يهدد بأسوأ مجاعة منذ 100 عام وموت 13 مليون شخص جوعا,تنبؤات عن حصول مجاعة في اليمن بسبب الحرب,agree
مبادرة الحزام والطريق الصينية تحرز تقدما,مبادرة تدعى  الحزام و الطريق  في الصين تحقق نجاحا ,agree
الأزمة الاقتصادية في إيران: خامنئي يوافق على تشكيل محاكم خاصة للجرائم المالية,رفض خامنئي تشكيل محاكم خاصة للجرائم المالية,disagree
النفط يغلق على انخفاض وسط مخاوف بشأن إيران,إغلاق على مكاسب نفطية رغم المخاوف بشان إيران,disagree
كوريا الجنوبية تتجنب النفط الإيراني,نفط إيراني لكوريا الجنوبية رغم العقوبات الأميركية,disagree
سوريا تعترف رسميا بإقليمين منفصلين عن جورجيا تدعمهما روسيا,سوريا تعترف رسميا بإقليمين منفصلين عن جورجيا تدعمهما الولايات المتحدة,disagree
إنتاج الصلب الصيني يسجل رقما قياسيا,الصلب التركي يسجل رقما قياسيا,disagree
بوتن يرفع راية الإصلاح الاقتصادي بولايته الرابعة,بوتن يسعى لإصلاحات اقتصادية في ولايته الرابعة,agree
